Date,beta0,beta1,beta2,lambda
2015-06-17,0.0,0.39748793677822125,9.632248800513963,0.05958311231560643
2015-06-18,0.0,0.38609242961253437,9.811059367165251,0.05972552838341739
2015-06-19,0.0,0.38662462085227994,9.505386603139286,0.05813003900863445
2015-06-22,0.0,0.3877843163616588,9.85094913812155,0.06064053745449099
2015-06-23,0.0,0.39771410175830685,9.97957169329358,0.061260690600764674
2015-06-24,0.0,0.3975323285231052,9.831227384640917,0.061035492390124756
2015-06-25,0.23910973771712224,0.15160974624911006,9.44400498873959,0.06317167102631535
2015-06-26,0.0,0.39116609330374175,10.169014975530654,0.06278756046763288
2015-06-29,0.3481863808752884,0.045780539630002254,9.050651945494502,0.06116196669391875
2015-06-30,0.0,0.4024881570069082,9.691921704127767,0.0592903608780643
2015-07-01,0.0,0.4048942382144147,9.974127094880382,0.06096205893745087
2015-07-02,0.0,0.38976878739798915,9.987938596441579,0.058655586487449826
2015-07-06,0.0,0.3919521949603446,9.624781727858544,0.056703024183980065
2015-07-07,0.0,0.39231133732778656,9.483198403868318,0.056806387923116416
2015-07-08,0.0,0.39030288442748334,9.349677808394652,0.05502829429659802
2015-07-09,0.0,0.3912004155680069,9.720317637678292,0.05660638090874034
2015-07-10,0.0,0.38973154507098434,10.002359719831302,0.06007849268604592
2015-07-13,0.0,0.3972103163510288,10.013052670366662,0.06095613796490248
2015-07-14,0.0,0.3951997572349942,9.990825710073558,0.05919228073720394
2015-07-15,0.0,0.40234613010192927,9.750188661816244,0.058396186949632084
2015-07-16,0.0,0.4076847921230599,9.643973985692533,0.06026719295020474
2015-07-17,0.24845818443041406,0.16545754810273633,9.07589653043943,0.062305145271272414
2015-07-20,0.9043300785886018,-0.47961803405727854,7.9219432579543945,0.06873110522347385
2015-07-21,0.7670075932747255,-0.33313937929067133,8.101650802177788,0.06633606354487762
2015-07-22,1.2523828372242076,-0.811734348290472,7.028390428581323,0.07166889751381278
2015-07-23,1.0839841020837775,-0.6461044324556673,7.15679958415886,0.06956279632468895
2015-07-24,0.45599741717521375,-0.017809186671040308,8.272630330897957,0.06427968262349616
2015-07-27,0.0,0.44610406672883957,8.983504844681425,0.05876802284587645
2015-07-28,0.07694140346208966,0.36919087025283587,8.930776936774476,0.0601608866649835
2015-07-29,0.14685588512148923,0.3013974828905417,8.905115944359103,0.06101793507472875
2015-07-30,0.676190920854196,-0.21842242686183105,7.834403751631495,0.06549241945694742
2015-07-31,0.0,0.4537865517336659,8.930554552002826,0.05704987471038222
2015-08-03,0.0,0.46023303096661555,8.71130948248357,0.0569591065671591
2015-08-04,1.2335053262017885,-0.7592620267845898,6.547854242495107,0.07009114450777713
2015-08-05,1.1662788186708273,-0.6950762332458588,6.817892483564268,0.07105110093909398
2015-08-06,1.3447081493033524,-0.8861076804739316,6.345557214771303,0.07240963641024718
2015-08-07,1.5786039865630095,-1.1008243491919054,5.608566649338845,0.07518478053722716
2015-08-10,1.3303410237711057,-0.842528164966516,6.2990465309291865,0.07193313265440639
2015-08-11,0.4155789237936325,0.07662394954428567,7.751000176864738,0.06027773666488366
2015-08-12,0.08061152398633833,0.40993563821894075,8.449135007892368,0.05640049974191276
2015-08-13,1.2151751048859607,-0.7207656958287795,6.419401536574306,0.06838864234572892
2015-08-14,1.3693388873927204,-0.8792840675693929,6.05281568725201,0.0729842136694525
2015-08-17,1.3341791169241013,-0.8442927698428083,6.0285294748720615,0.07131839412979231
2015-08-18,1.38670759272928,-0.8901486013419971,6.117043122790115,0.07101794057945962
2015-08-19,0.2050965826012842,0.2788842660455803,8.141299816117732,0.05700687638725154
2015-08-20,1.0535725036503913,-0.582427547285233,6.445727620522051,0.06550883036986714
2015-08-21,0.16256961139403375,0.3056183862742155,8.05293805712278,0.05542156002394571
2015-08-24,0.0,0.4645616358945297,8.348316241989536,0.05170216676143663
2015-08-25,0.0,0.47436456188020937,8.6556321380953,0.054953843891587674
2015-08-26,0.0,0.4641476452824881,9.037454818823809,0.0542484246171601
2015-08-27,0.05398464691812653,0.4123558964212107,8.877416603602388,0.0551657960342506
2015-08-28,0.0317072409317062,0.44930557622855055,8.828609786559733,0.05646863385970861
2015-08-31,0.4327372903106475,0.05605368676935608,8.213441185838576,0.05907476848840269
2015-09-01,0.0,0.478224968440972,8.949218018969612,0.05457090772423301
2015-09-02,0.0,0.4726144871067066,9.083984740825436,0.05530618496808634
2015-09-03,0.06027483410969682,0.4070451884705816,8.975445150958699,0.05431762235437651
2015-09-04,0.0,0.4719833315680085,8.83270121063238,0.05395029525856055
2015-09-08,0.0,0.48866290025030573,9.057643756328442,0.05502900279133903
2015-09-09,0.44310220931663596,0.03881156871966834,8.24196907793266,0.05832688347286214
2015-09-10,0.5556092393442984,-0.08015945913200763,8.11243475631012,0.059723448145620806
2015-09-11,0.20917085240562766,0.27241351434305283,8.645641167315464,0.055858714100265036
2015-09-14,0.05071609626653216,0.44042907331291337,8.897748649603695,0.05419416725275792
2015-09-15,1.7082947681943181,-1.2057583558794558,6.14388756637583,0.06990128520280435
2015-09-16,1.8058072566784698,-1.3167786063749716,6.020477405693221,0.07201243562179067
2015-09-17,0.09329823754950603,0.35640562707739487,9.164068432804534,0.0540358569973131
2015-09-18,0.06884910734778696,0.3660040743962461,8.889049390657634,0.053620095441260805
2015-09-21,0.5026283467789504,-0.06362164152630592,8.411421312995598,0.05711572061969121
2015-09-22,0.02305153539937796,0.40866808513987857,9.037382369283769,0.05307827617296195
2015-09-23,0.5706805769212459,-0.1404419892682015,8.065806285865907,0.057595840516359506
2015-09-24,0.49233938279970807,-0.06706839361250365,8.074724085406729,0.056803595229308
2015-09-25,1.0246813655392066,-0.6021656788056324,7.2634921745622245,0.061446448465171596
2015-09-28,0.5030107547459836,-0.06830609902596729,7.915883000287255,0.0561034686088521
2015-09-29,0.1342801398976346,0.3010427542289409,8.56611119076785,0.05070259447461844
2015-09-30,0.6234173508717765,-0.2007563090000641,7.803114183034987,0.05385407184046743
2015-10-01,0.0,0.42249625565306664,8.800472315307767,0.050985212184443345
2015-10-02,0.20122415855996878,0.20451175840309566,8.498299639876723,0.04810802876116088
2015-10-05,2.979804995804358,-2.109547482990796,-5.324297005499415,0.9209037111669459
2015-10-06,0.0,0.410848179871246,8.975756387973583,0.048897057430723034
2015-10-07,0.0,0.4188123796077841,8.946556799556566,0.050370539072514174
2015-10-08,0.0,0.4101254248641999,9.172665388404761,0.05076728826937253
2015-10-09,0.1134584189629846,0.30753140655325983,8.880200319253825,0.05200008124931788
2015-10-13,0.17400931038298678,0.24918480374711766,8.659190462824771,0.04999745760390072
2015-10-14,3.718508042271406,-3.3109621167845376,0.02405676749982657,0.12343182460389736
2015-10-15,0.0,0.41617679757120596,8.900995521792646,0.048687880393861974
2015-10-16,0.0,0.42251738024887653,8.876508954315549,0.04899060031370775
2015-10-19,2.9360730712293575,-1.9986909584869925,-5.447656070770025,0.9553462804691659
2015-10-20,0.0,0.44441847784124905,9.021489881879974,0.04933287980733515
2015-10-21,3.6489024949247875,-3.2259673664232285,-0.015550977443270775,0.13882841802791301
2015-10-22,2.9251041399771767,-2.0168498971154225,-5.37044305987483,0.9589618563049845
2015-10-23,0.11818489801001465,0.3105726156098271,8.73277319553385,0.052674223008267275
2015-10-26,0.0,0.4395791332054506,8.81727146421435,0.051314046778221184
2015-10-27,0.0,0.4535757030659301,8.799307118284359,0.049401813263271734
2015-10-28,1.4432369666053149,-0.9680915431607906,6.092511451127021,0.0634716933377327
2015-10-29,1.3857786191638617,-0.9118268824500193,6.488305480598718,0.06480412749224926
2015-10-30,1.567069783236517,-1.0871816770460832,6.026095847077948,0.06628959828869344
2015-11-02,1.7935838398427202,-1.304369800222959,5.592015005505413,0.07138845856889657
2015-11-03,1.7897404123655307,-1.289595737322173,5.7633562098509135,0.07060706231048938
2015-11-04,2.301670290727902,-1.7989632313190012,4.607591169940427,0.08218998371483516
2015-11-05,2.3039303372590765,-1.805275246663839,4.643472761856682,0.08289851817370963
2015-11-06,2.611235382408558,-2.095028650554087,4.130586569618595,0.09219160584921887
2015-11-09,2.6027843103477,-2.067399466916035,4.248120135531655,0.090578986025733
2015-11-10,2.5405543536347843,-1.9884762737285107,4.341525397652234,0.08564946858992438
2015-11-12,2.679374297966846,-2.124150175240139,3.932779416985496,0.09095372819127384
2015-11-13,2.553283425131909,-2.018581051499745,4.192087349674506,0.08615507277211813
2015-11-16,2.537256366602891,-1.9878251114373349,4.288329334464678,0.0822344998095948
2015-11-17,2.5263934454916424,-1.9716153868524744,4.1877899499200275,0.08297240676479978
2015-11-18,2.6925409844290265,-2.1482910719044006,3.7373263668402577,0.09126886331999605
2015-11-19,2.7966891989473837,-2.255837417600338,3.286762288705717,0.09699861698007939
2015-11-20,2.8809797518912887,-2.342924249082854,3.1042533543127857,0.1015584986987008
2015-11-23,2.94165783334289,-2.38374976328447,2.807689575281153,0.1054750305157053
2015-11-24,2.768323500986816,-2.1825558345026432,3.3553740214642134,0.09187663014988925
2015-11-25,2.874284207292344,-2.2748595990898575,3.049860444034911,0.09451691360063955
2015-11-27,2.8118429141755175,-2.222916328750638,3.2678207305202194,0.09040188360894141
2015-11-30,2.8420185234426136,-2.2362862450501084,3.0793431339822344,0.09280366762316025
2015-12-01,2.5967051932858127,-1.971479959921125,3.5067871207516017,0.08170239934540857
2015-12-02,2.7904915500618364,-2.1653187934382583,2.8931722024524227,0.09402058146187241
2015-12-03,2.746361415214139,-2.1233738755209424,3.59621532270733,0.09243179384713793
2015-12-04,2.837146597798569,-2.198106317416384,3.1004461525840132,0.09587108847161527
2015-12-07,2.7288149724273976,-2.036647196342111,3.1688119195788533,0.08835981292113362
2015-12-08,2.817555986269045,-2.1063886933473954,3.0093395740127487,0.08912759873186227
2015-12-09,2.892681278197718,-2.2063061197875635,2.859265070705255,0.08918897079829476
2015-12-10,3.010710703596106,-2.3282541887707873,2.457994517924164,0.09967280193435017
2015-12-11,2.756971986170213,-2.093939755282461,2.918104200657152,0.08441034686264771
2015-12-14,3.0040357208250477,-2.338321732841533,2.3885122125750047,0.10251830251398952
2015-12-15,3.0283934293911607,-2.3466672667519,2.4148689758717596,0.1046150631341834
2015-12-16,3.1253700711961323,-2.4461681832067943,2.0739769564615482,0.11764839058997274
2015-12-17,3.094348592349641,-2.432442885443133,1.7592495033172797,0.12576223437928652
2015-12-18,3.020203446699152,-2.3731308528574493,1.9806536205392862,0.11470961787216231
2015-12-21,3.0478677880383716,-2.3943842258173382,1.996566226825304,0.11255231741323118
2015-12-22,3.057027309657112,-2.4040691749252026,2.11463521935125,0.1140609648198718
2015-12-23,3.0988393470682225,-2.451311595317386,2.136094282526399,0.11610831045692781
2015-12-24,3.0904606690437086,-2.4472266534086744,1.9225822443317182,0.12354653929176936
